 publishedyear | frequency
---------------+-----------
          1800 |      3843
          1801 |      1472
          1802 |      1263
          1803 |      1252
          1804 |      1194
          1805 |       997
          1806 |      1153
          1807 |       974
          1808 |      1167
          1809 |      1236
          1810 |      1214
          1811 |      1241
          1812 |      1267
          1813 |      1167
          1814 |      1223
          1815 |      1828
          1816 |      1398
          1817 |      1301
          1818 |      1340
          1819 |      1292
          1820 |      1662
          1821 |      1763
          1822 |      1682
          1823 |      1656
          1824 |      1799
          1825 |      1869
          1826 |      1918
          1827 |      2397
          1828 |      2518
          1829 |      2594
          1830 |      3062
          1831 |      2473
          1832 |      2588
          1833 |      2811
          1834 |      3204
          1835 |      3653
          1836 |      3602
          1837 |      3712
          1838 |      3771
          1839 |      4022
          1840 |      4473
          1841 |      4361
          1842 |      4720
          1843 |      4910
          1844 |      4892
          1845 |      5202
          1846 |      5528
          1847 |      4825
          1848 |      5280
          1849 |      5353
          1850 |      7242
          1851 |      7593
          1852 |      6803
          1853 |      7722
          1854 |      7566
          1855 |      8374
          1856 |      8142
          1857 |      9645
          1858 |      8550
          1859 |      9186
          1860 |      8935
          1861 |      7607
          1862 |      8302
          1863 |      8853
          1864 |      9002
          1865 |      8646
          1866 |      9414
          1867 |      9636
          1868 |      9988
          1869 |     10367
          1870 |     12091
          1871 |     10722
          1872 |     12751
          1873 |     13410
          1874 |     13539
          1875 |     14950
          1876 |     14456
          1877 |     15232
          1878 |     16070
          1879 |     16630
          1880 |     19593
          1881 |     18008
          1882 |     18607
          1883 |     19682
          1884 |     18885
          1885 |     19218
          1886 |     20456
          1887 |     21844
          1888 |     22205
          1889 |     24203
          1890 |     24423
          1891 |     24757
          1892 |     25851
          1893 |     29276
          1894 |     36967
          1895 |     40808
          1896 |     41915
          1897 |     46738
          1898 |     47749
          1899 |     56601
          1900 |     61306
          1901 |     60688
          1902 |     65919
          1903 |     75645
          1904 |     73115
          1905 |     75670
          1906 |     77557
          1907 |     79742
          1908 |     82213
          1909 |     85335
          1910 |     88938
          1911 |     90953
          1912 |     95527
          1913 |     97379
          1914 |     91019
          1915 |     77003
          1916 |     69321
          1917 |     66100
          1918 |     62488
          1919 |     66421
          1920 |     81439
          1921 |     88053
          1922 |     93250
          1923 |     95185
          1924 |    102790
          1925 |    106982
          1926 |    111784
          1927 |    115898
          1928 |    121454
          1929 |    131725
          1930 |    142827
          1931 |    140418
          1932 |    143689
          1933 |    136093
          1934 |    137688
          1935 |    139124
          1936 |    139269
          1937 |    134868
          1938 |    139267
          1939 |    141411
          1940 |    157955
          1941 |    126826
          1942 |    119990
          1943 |    113388
          1944 |     99991
          1945 |    100805
          1946 |    126835
          1947 |    144839
          1948 |    166444
          1949 |    193128
          1950 |    267833
          1951 |    300952
          1952 |    319873
          1953 |    339847
          1954 |    333512
          1955 |    333439
          1956 |    348966
          1957 |    379490
          1958 |    394430
          1959 |    419348
          1960 |    476538
          1961 |    469990
          1962 |    488768
          1963 |    518910
          1964 |    563525
          1965 |    628092
          1966 |    669717
          1967 |    717390
          1968 |    775805
          1969 |    836218
          1970 |    952241
          1971 |    883176
          1972 |    895346
          1973 |    958882
          1974 |    962460
          1975 |   1015689
          1976 |   1096237
          1977 |   1224723
          1978 |   1298503
          1979 |   1356097
          1980 |   1481527
          1981 |   1482365
          1982 |   1535327
          1983 |   1601534
          1984 |   1661733
          1985 |   1750849
          1986 |   1850530
          1987 |   1934374
          1988 |   2039944
          1989 |   2160332
          1990 |   2319005
          1991 |   2347857
          1992 |   2485355
          1993 |   2503132
          1994 |   2707643
          1995 |   2829401
          1996 |   3001361
          1997 |   3187356
          1998 |   3407846
          1999 |   3619417
          2000 |   4002849
          2001 |   4217300
          2002 |   4566732
          2003 |   4888042
          2004 |   5313366
          2005 |   5733219
          2006 |   6220355
          2007 |   6622447
          2008 |   7190638
          2009 |   7809824
          2010 |   8315131
          2011 |   8835741
          2012 |   9325180
          2013 |   9924874
          2014 |  10193246
          2015 |  10362990
          2016 |  10382471
          2017 |   9818101
          2018 |   5993041
          2019 |    823398
          2020 |        66
